---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.FileName = "..\Data\SC\Tmp\SC_ngait_og5-output-euler-leftlegtd.txt"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Search = 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure0
col2  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure1
col3  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure2
col4  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.KneeJointMeasure
col5  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.AnkleJointMeasure
col6  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SubtalarMeasure
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure0 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure1 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure2 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.KneeJointMeasure Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.AnkleJointMeasure Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SubtalarMeasure
3.199999999999998e+000 -7.011101944599735e-001 1.560923730244725e-001 1.533593289966500e+000 -1.079332236058264e-001 -4.177921165323240e-001 4.312211113445327e-001
3.208333333333331e+000 -6.876120734664961e-001 1.562989124722767e-001 1.536537640685443e+000 -1.018400272436118e-001 -4.142683687386388e-001 4.339047661074814e-001
3.216666666666665e+000 -6.742126890564912e-001 1.561371339595652e-001 1.538976046557580e+000 -9.582492924577446e-002 -4.103887733006784e-001 4.357868526177590e-001
3.224999999999998e+000 -6.609328130054949e-001 1.556511242582963e-001 1.541030661624760e+000 -8.992073579686857e-002 -4.061859335873118e-001 4.369862510109083e-001
3.233333333333331e+000 -6.477857197952550e-001 1.548713687436845e-001 1.542860579464939e+000 -8.414891156349269e-002 -4.017194229561632e-001 4.376882780520994e-001
3.241666666666665e+000 -6.347718455443200e-001 1.538130836025364e-001 1.544649519693493e+000 -7.852360322950734e-002 -3.970660013154916e-001 4.381240970769075e-001
3.249999999999998e+000 -6.218763530395981e-001 1.524787121978155e-001 1.546585784030204e+000 -7.305078838222996e-002 -3.923106524441513e-001 4.385496707273493e-001
3.258333333333331e+000 -6.090724113327873e-001 1.508627667897260e-001 1.548841673066764e+000 -6.772776376425900e-002 -3.875409124545924e-001 4.392221009554619e-001
3.266666666666664e+000 -5.963292262736836e-001 1.489557652724696e-001 1.551559423483732e+000 -6.254838105967138e-002 -3.828417801242077e-001 4.403730518604492e-001
3.274999999999998e+000 -5.836215179794640e-001 1.467453672296342e-001 1.554843408682386e+000 -5.751178568090166e-002 -3.782904119729457e-001 4.421882525051547e-001
3.283333333333331e+000 -5.709345042460307e-001 1.442151152022388e-001 1.558755874863006e+000 -5.262825167290596e-002 -3.739518383150813e-001 4.447995295333942e-001
3.291666666666664e+000 -5.582602501447611e-001 1.413430280080565e-001 1.563313450215027e+000 -4.791926581236560e-002 -3.698729094036922e-001 4.482816995721721e-001
3.299999999999998e+000 -5.455905930770412e-001 1.381045732917152e-001 1.568482661991867e+000 -4.341330802447994e-002 -3.660745246066876e-001 4.526459176516611e-001
3.308333333333331e+000 -5.329149064271513e-001 1.344819785964142e-001 1.574176811900060e+000 -3.913963525333174e-002 -3.625490113782632e-001 4.578352470284341e-001
3.316666666666664e+000 -5.202224756872959e-001 1.304745071374966e-001 1.580255189874864e+000 -3.512205784831199e-002 -3.592632231274578e-001 4.637281654295201e-001
3.324999999999998e+000 -5.075041887933849e-001 1.261016681479314e-001 1.586524808886624e+000 -3.137448517138065e-002 -3.561602264675901e-001 4.701446652331004e-001
3.333333333333331e+000 -4.947529524917884e-001 1.213968390639892e-001 1.592753114119251e+000 -2.789986172555461e-002 -3.531604254583766e-001 4.768563767217610e-001
3.341666666666664e+000 -4.819651549061476e-001 1.163962873030289e-001 1.598697586146645e+000 -2.469305160172561e-002 -3.501697216640147e-001 4.836104811013064e-001
