---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.FileName = "..\..\Data\SC\Tmp\SC_hip_rstar1-output-euler-pelvis.txt"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Search = 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot0
col5  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot1
col6  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot2
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot0 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot1 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot2
3.166666666666668e-001 -2.817530337915451e-001 8.874212555009804e-002 1.023716171444479e+000 1.546550415699384e+000 1.103589191426924e+000 1.575765296477206e+000
3.250000000000002e-001 -2.815342761231082e-001 8.863206304857621e-002 1.023688666272022e+000 1.546709988997675e+000 1.103343091201402e+000 1.575329904310135e+000
3.333333333333335e-001 -2.813315036550760e-001 8.852307840242524e-002 1.023658180161606e+000 1.546815810686633e+000 1.103058650579464e+000 1.574875716812611e+000
3.416666666666669e-001 -2.811447833667326e-001 8.841628428198575e-002 1.023624913278612e+000 1.546883801143700e+000 1.102747061060659e+000 1.574427609671594e+000
3.500000000000003e-001 -2.809742875931462e-001 8.831298465695237e-002 1.023589417171504e+000 1.546932065025445e+000 1.102422028700315e+000 1.574012730101576e+000
3.583333333333336e-001 -2.808203077589103e-001 8.821454860156353e-002 1.023552627496785e+000 1.546978047390604e+000 1.102098778423947e+000 1.573657664235663e+000
3.666666666666670e-001 -2.806831947138742e-001 8.812229467840914e-002 1.023515860491957e+000 1.547035695707537e+000 1.101792717982882e+000 1.573384717968498e+000
3.750000000000003e-001 -2.805631164565297e-001 8.803730654585243e-002 1.023480851636310e+000 1.547090542235329e+000 1.101516292584637e+000 1.573181717638518e+000
3.833333333333337e-001 -2.804608069021925e-001 8.796059729386024e-002 1.023449021252022e+000 1.547196589317928e+000 1.101283608192752e+000 1.573113022436594e+000
3.916666666666671e-001 -2.803764159434039e-001 8.789259532295972e-002 1.023421885066443e+000 1.547318123401106e+000 1.101096170225265e+000 1.573135942980327e+000
4.000000000000004e-001 -2.803103846773980e-001 8.783325203121321e-002 1.023400577268232e+000 1.547441575044567e+000 1.100953484513219e+000 1.573230918599818e+000
4.083333333333338e-001 -2.802631842170592e-001 8.778197105245553e-002 1.023385675587749e+000 1.547546058585328e+000 1.100849359030136e+000 1.573368215604412e+000
4.166666666666671e-001 -2.802352574853051e-001 8.773772336040472e-002 1.023377102768282e+000 1.547608888267196e+000 1.100773199377686e+000 1.573514699647836e+000
4.250000000000005e-001 -2.802269310985545e-001 8.769922146683891e-002 1.023374104397552e+000 1.547609345307257e+000 1.100711391771529e+000 1.573638594761443e+000
4.333333333333339e-001 -2.802383612209720e-001 8.766510166595921e-002 1.023375328031341e+000 1.547531151139257e+000 1.100649020094399e+000 1.573712998208606e+000
4.416666666666672e-001 -2.802695215221980e-001 8.763407783894486e-002 1.023378972792963e+000 1.547363924113775e+000 1.100571606378417e+000 1.573718330303747e+000
4.500000000000006e-001 -2.803202073266944e-001 8.760503482360618e-002 1.023383019513722e+000 1.547103900357789e+000 1.100466662754605e+000 1.573643565730330e+000
4.583333333333339e-001 -2.803899965043493e-001 8.757737291761857e-002 1.023385409336823e+000 1.546765515812856e+000 1.100325318509969e+000 1.573498934132797e+000
