---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.FileName = "PelvisSTLSegOutput.txt"
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Search = 
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[0]
col2  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[1]
col3  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[2]
col4  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[0]
col5  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[1]
col6  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[2]
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[0] Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[1] Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[2] Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[0] Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[1] Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[2]
9.500000000000004e-001 2.858393482723114e-001 -2.944758874027896e-001 9.815863634158477e-001 -3.073412358356912e+000 -3.588518088812664e-002 9.879691023421375e-003
9.600000000000004e-001 2.865375434091869e-001 -2.818294785828501e-001 9.809125061431088e-001 -3.072772338394469e+000 -3.359094765364845e-002 1.017930928378187e-002
9.700000000000004e-001 2.871620674606124e-001 -2.690607489640471e-001 9.802585989205610e-001 -3.072551535445056e+000 -3.078684615942606e-002 1.020012161430884e-002
9.800000000000004e-001 2.877010579421777e-001 -2.562039391904960e-001 9.796331851489519e-001 -3.072891922678521e+000 -2.743852671811986e-002 9.974369158818931e-003
9.900000000000004e-001 2.881446498514544e-001 -2.432983658505610e-001 9.790576822285203e-001 -3.073941120913786e+000 -2.350812747188735e-002 9.612815322976243e-003
1.000000000000000e+000 2.884885945224901e-001 -2.303903337027426e-001 9.785498408756114e-001 -3.075823642574815e+000 -1.896529965674954e-002 9.178364296174231e-003
1.010000000000001e+000 2.887374275578716e-001 -2.175249128522422e-001 9.781212289450454e-001 -3.078611965969444e+000 -1.380588801309624e-002 8.703177953967653e-003
1.020000000000001e+000 2.889054922445899e-001 -2.047418017276466e-001 9.777765263932363e-001 -3.082295498864614e+000 -8.060436290464157e-003 8.176476042878461e-003
1.030000000000001e+000 2.890157799538529e-001 -1.920811662690860e-001 9.775084260736682e-001 -3.086754814787501e+000 -1.780819576539416e-003 7.443554231732594e-003
1.040000000000001e+000 2.890966336157132e-001 -1.795726792074937e-001 9.773221216425839e-001 -3.091793344916997e+000 4.930192456612303e-003 6.412677309330176e-003
1.050000000000001e+000 2.891797440475619e-001 -1.672397110382917e-001 9.772314498661074e-001 -3.097162468946757e+000 1.191437662755335e-002 5.018234617612954e-003
1.060000000000001e+000 2.892980755792372e-001 -1.550964783336333e-001 9.772607291356820e-001 -3.102598843390497e+000 1.895069740593702e-002 3.272655526106691e-003
1.070000000000001e+000 2.894834765689621e-001 -1.431482772659984e-001 9.774398837203479e-001 -3.107849841213954e+000 2.577277476337270e-002 1.253422196834485e-003
1.080000000000001e+000 2.897634878594025e-001 -1.313947848058130e-001 9.777957383909757e-001 -3.112688188654293e+000 3.210388969600420e-002 -9.552208226271392e-004
1.090000000000001e+000 2.901574353020474e-001 -1.198257722152361e-001 9.783567103072428e-001 -3.116925979500779e+000 3.767804762578852e-002 -3.187284774485500e-003
1.100000000000001e+000 2.906733552606691e-001 -1.084312754955146e-001 9.791342369608524e-001 -3.120411125330316e+000 4.228514839815101e-002 -5.358641025389560e-003
1.110000000000001e+000 2.913065755173390e-001 -9.719613198184794e-002 9.801285479526023e-001 -3.123032414139203e+000 4.577805084525322e-002 -7.388764199105177e-003
1.120000000000001e+000 2.920410117938597e-001 -8.610159237248055e-002 9.813240411169285e-001 -3.124718130134123e+000 4.808436574012642e-002 -9.236357734907717e-003
1.130000000000001e+000 2.928524873844186e-001 -7.512616947480194e-002 9.826887660709462e-001 -3.125438635903984e+000 4.920414113735872e-002 -1.090518610580039e-002
1.140000000000001e+000 2.937127911286256e-001 -6.424728602143408e-002 9.841764032193069e-001 -3.125212542767240e+000 4.919764486920353e-002 -1.243938173915288e-002
1.150000000000001e+000 2.945932714748668e-001 -5.344331124670917e-002 9.857304932315962e-001 -3.124113991695068e+000 4.816838210397689e-002 -1.390801987229887e-002
1.160000000000001e+000 2.954672960832330e-001 -4.269543443010222e-002 9.872897345119094e-001 -3.122276624162666e+000 4.624647187545983e-002 -1.538397300655169e-002
1.170000000000001e+000 2.963114560327215e-001 -3.198893697975272e-002 9.887931228378744e-001 -3.119889387042152e+000 4.357512343872050e-002 -1.692467645268259e-002
1.180000000000001e+000 2.971059846217739e-001 -2.131356264403150e-002 9.901846858250937e-001 -3.117179996365244e+000 4.030131118069025e-002 -1.855643782546406e-002
1.190000000000001e+000 2.978348557354766e-001 -1.066159700117394e-002 9.914200833434962e-001 -3.114387717301865e+000 3.656884810539696e-002 -2.023912444119728e-002
1.200000000000001e+000 2.984863681746259e-001 -3.258119985667107e-005 9.924593763187969e-001 -3.111729126948007e+000 3.252193522609881e-002 -2.196650739952494e-002
1.210000000000001e+000 2.990521524294985e-001 1.057734197301760e-002 9.932834096038096e-001 -3.109379124281852e+000 2.829217686895547e-002 -2.362219707328502e-002
1.220000000000001e+000 2.995274535895661e-001 2.117049329906141e-002 9.938824167512007e-001 -3.107454422798289e+000 2.400262500390027e-002 -2.510475121119551e-002
1.230000000000001e+000 2.999106384954521e-001 3.174983528317933e-002 9.942576039600155e-001 -3.106012909195868e+000 1.976161214571870e-002 -2.631108611580401e-002
1.240000000000001e+000 3.002025125937207e-001 4.231833198800532e-002 9.944192457811192e-001 -3.105060039780172e+000 1.565997867189828e-002 -2.714584227436825e-002
1.250000000000001e+000 3.004052301239930e-001 5.287818980233483e-002 9.943843700047294e-001 -3.104561018081126e+000 1.177114125744128e-002 -2.752937376508704e-002
1.260000000000001e+000 3.005211614669318e-001 6.343081055649358e-002 9.941742509578795e-001 -3.104456813731918e+000 8.152203294051086e-003 -2.740496495394280e-002
1.270000000000001e+000 3.005526363893468e-001 7.397750779386077e-002 9.938119342428771e-001 -3.104677765597394e+000 4.844298923073254e-003 -2.674437774660683e-002
1.280000000000001e+000 3.005028667841118e-001 8.452071089791112e-002 9.933201161528166e-001 -3.105149862044131e+000 1.873418721870745e-003 -2.554992340043887e-002
1.290000000000001e+000 3.003767729600880e-001 9.506531879044289e-002 9.927196550696956e-001 -3.105797341072675e+000 -7.465075607666627e-004 -2.385235578298863e-002
1.300000000000001e+000 3.001804770857328e-001 1.056197290847066e-001 9.920285899885447e-001 -3.106546514144935e+000 -3.009063088612596e-003 -2.170654785410729e-002
1.310000000000001e+000 2.999196485884023e-001 1.161960015536669e-001 9.912612470284439e-001 -3.107329675973964e+000 -4.911591934906312e-003 -1.918772434604073e-002
1.320000000000001e+000 2.995974251404210e-001 1.268090543216480e-001 9.904273925657754e-001 -3.108087267330715e+000 -6.453436307123139e-003 -1.638836000736158e-002
1.330000000000001e+000 2.992126525229036e-001 1.374754150255155e-001 9.895317800096518e-001 -3.108769365714397e+000 -7.636164216647146e-003 -1.341432777651041e-002
1.340000000000001e+000 2.987594235971196e-001 1.482121347475182e-001 9.885742626600557e-001 -3.109336691864055e+000 -8.466185136359661e-003 -1.037982969981804e-002
1.350000000000001e+000 2.982282690632798e-001 1.590360161349136e-001 9.875506019263959e-001 -3.109761365959660e+000 -8.959704602611529e-003 -7.400257227433670e-003
1.360000000000001e+000 2.976084916899166e-001 1.699631135188110e-001 9.864543718394809e-001 -3.110028637067568e+000 -9.147224834164636e-003 -4.581435444224956e-003
1.370000000000001e+000 2.968909500281183e-001 1.810087262796670e-001 9.852802608515643e-001 -3.110140437313878e+000 -9.076191755213792e-003 -2.005925054624501e-003
1.380000000000001e+000 2.960705248285036e-001 1.921878887183728e-001 9.840282097456031e-001 -3.110122303537603e+000 -8.816189618850778e-003 2.778414691177890e-004
1.390000000000001e+000 2.951480805109846e-001 2.035155525157343e-001 9.827065840368991e-001 -3.110029803127032e+000 -8.468586594745808e-003 2.255052486895664e-003
1.400000000000001e+000 2.941322031222886e-001 2.150043940608521e-001 9.813305029868371e-001 -3.109943187189001e+000 -8.171516113884669e-003 3.910890940496883e-003
1.410000000000001e+000 2.930392991359100e-001 2.266690005941170e-001 9.799280381302328e-001 -3.109953090848213e+000 -8.097258476879699e-003 5.299923971248338e-003
1.420000000000001e+000 2.918920885217327e-001 2.385156764669973e-001 9.785222740510514e-001 -3.110133617779193e+000 -8.422491039237423e-003 6.395516876880823e-003
1.430000000000001e+000 2.907152220297057e-001 2.505487671051982e-001 9.771391732175990e-001 -3.110529652538347e+000 -9.302313469357948e-003 7.199573619702577e-003
1.440000000000001e+000 2.895315706994205e-001 2.627640588696797e-001 9.757973384970683e-001 -3.111143683607326e+000 -1.083839533968800e-002 7.659875433662339e-003
1.450000000000001e+000 2.883591601069210e-001 2.751547411283546e-001 9.745199007216082e-001 -3.111938627259903e+000 -1.307360198540075e-002 7.784273787635173e-003
1.460000000000001e+000 2.872108900862668e-001 2.877037048720620e-001 9.733275238341871e-001 -3.112840947527586e+000 -1.599858045203328e-002 7.545541809261854e-003
1.470000000000001e+000 2.860956578808903e-001 3.003842322734656e-001 9.722442732977390e-001 -3.113749506490050e+000 -1.957649704625841e-002 6.910422702779204e-003
1.480000000000001e+000 2.850195248150247e-001 3.131601108800788e-001 9.712990701279578e-001 -3.114545437625214e+000 -2.376411678720469e-002 5.845317993569870e-003
